"filename", "language", "JSON", "Groovy", "Markdown", "comment", "blank", "total"
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\.VSCodeCounter\2022-06-23_18-06-42\details.md", "Markdown", 0, 0, -163, 0, -6, -169
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\.VSCodeCounter\2022-06-23_18-06-42\diff-details.md", "Markdown", 0, 0, -9, 0, -6, -15
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\.VSCodeCounter\2022-06-23_18-06-42\diff.md", "Markdown", 0, 0, -12, 0, -7, -19
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\.VSCodeCounter\2022-06-23_18-06-42\results.json", "JSON", -1, 0, 0, 0, 0, -1
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\.VSCodeCounter\2022-06-23_18-06-42\results.md", "Markdown", 0, 0, -51, 0, -7, -58
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\assets\config\resource.json", "JSON", -51, 0, 0, 0, 0, -51
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\assets\config\sprite.json", "JSON", -49, 0, 0, 0, 0, -49
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\assets\config\weapons.json", "JSON", -24, 0, 0, 0, 0, -24
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\build.gradle", "Groovy", 0, -5, 0, 0, -2, -7
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\config\app.json", "JSON", -12, 0, 0, 0, 0, -12
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\config\resource.json", "JSON", -37, 0, 0, 0, 0, -37
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\config\sprite.json", "JSON", -46, 0, 0, 0, 0, -46
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\config\weapons.json", "JSON", -24, 0, 0, 0, 0, -24
"c:\Users\mithu\Documents\Projects\eclipse-workspace\ShadowHunt\core\level.json", "JSON", -1, 0, 0, 0, 0, -1
"Total", "-", -245, -5, -235, 0, -28, -513